Blog	help	cup	world	along	finally	enjoy	hour	myself	blog	does	couple	oil	weekend	rest	almost	later	least	its	kind	during	large	read	sugar	already	yet	hand	bowl	doesn	told	salt	black	butter	free	mix	comes	bad	three	using	garlic	bring	chocolate	school	probably	anything	show	tell	yes	trying	hope	mom	turn	instead	less	saw	light	remember	taste	pepper	cooked	heat	lots	brown	weeks	store	bread	lunch	able	eating	picture	milk	ingredients	between	sunday	maybe	might	tried	pan	idea	low	leave	won	head	far	trip	nothing	kitchen	onion	perfect	oh	coming	asked	call	rice	working	dish	saturday	share	usually	warm	taking	gave	cake	oven	stir	needed	soon	check	cold	point	wonderful	must	beautiful	ice	ground	baby	egg	stop	wasn	open	friday	looked	live	breakfast	meat	watch	real	loved	believe	turned	th	serve	outside	often	soup	second	birthday	stuff	eggs	simple	bought	early	under	table	salad	chopped	pictures	yesterday	name	several	book	buy	baking	visit	party	someone	amp	delicious	meal	especially	summer	past	potatoes	cover	cups	dry	flour	couldn	wait	season	isn	line	man	guess	pieces	extra	play	looks	bake	minute	short	front	else	mixture	sometimes	either	knew	late	however	special	walk	person	bed	medium	fact	goes	juice	month	change	tomatoes	recipes	powder	amazing	felt	run	list	thinking	beans	tomato	mind	seen	inside	mean	brought	bag	four	fine	pot	clean	months	stay	seems	haven	added	taken	size	bottom	spent	completely	evening	plus	close	leaves	dad	huge	quick	above	onions	pick	ones	heart	feeling	gone	lemon	girl	anyone	watching	christmas	pour	car	means	fish	job	children	enjoyed	although	face	anyway	c	afternoon	break	middle	gets	chips	piece	busy	mother	olive	care	order	reading	corn	paper	area	playing	sliced	living	tsp	worth	coffee	excited	story	mine	potato	please	worked	super	soft	thank	local	fall	thanks	tomorrow	baked	beef	fried	box	case	pasta	group	game	husband	hands	monday	across	vanilla	spread	ate	sit	plan	roll	stick	sister	parents	finished	apple	slightly	quickly	rather	photo	tonight	hit	town	near	center	talking	vegetables	others	golden	experience	serving	remove	spring	reason	wine	heard	drink	dark	shopping	oz	interesting	fruit	served	blue	cookies	plate	dried	cute	talk	city	sitting	running	longer	sprinkle	style	spend	ended	covered	given	young	kept	aside	dessert	lost	weather	fat	etc	restaurant	picked	lovely	onto	degrees	dough	ok	amount	ask	crazy	says	x	whatever	com	prepared	money	met	starting	forward	works	five	road	god	inch	takes	filled	definitely	become	note	waiting	orange	loves	slices	pork	boil	per	pie	healthy	cinnamon	choice	door	wouldn	hear	thick	vegetable	behind	wednesday	awesome	wish	non	mixed	important	moment	seeing	simply	thursday	tea	slice	chili	photos	needs	except	smooth	deep	beat	words	roasted	boy	walking	walked	garden	ginger	recently	below	wrong	filling	teaspoon	country	pizza	frozen	seem	glass	main	girls	air	sun	flavor	move	music	drive	saying	bacon	coconut	e	sleep	park	melted	liked	dishes	lives	round	number	hold	vinegar	movie	usual	played	fast	learned	remaining	true	diced	combine	st	church	honey	woman	funny	daughter	form	market	phone	entire	color	child	mushrooms	thin	watched	homemade	word	miss	fridge	yellow	slow
Birrell Family Blog	2	1	0	0	2	0	0	4	0	0	2	0	0	0	1	0	0	0	1	0	1	0	0	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	1	10	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	2	1	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	2	0	0	0	1	2	0	4	1	0	1	0	1	0	0	1	1	4	0	0	0	0	1	0	1	0	4	1	0	1	0	1	0	0	1	0	0	0	1	0	2	1	2	1	3	1	0	1	1	3	0	0	1	0	0	0	1	0	1	0	1	0	3	3	4	0	2	1	0	5	0	2	18	0	1	1	2	3	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	2	0	5	0	0	4	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	3	0	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	2	0	2	0	2	0	0	0	0	2	0	0	0	3	0	0	1	0	0	0	0	2	0	2	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	3	1	3	3	2	0	0	0	0	0	0	0	3	0	0	0	2	0	3	1	0	0	0	1	0	1	0	2	0	0	3	0	1	0	1	0	0	0	0	3	1	2	1	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0
Stamattina	3	10	0	3	3	4	4	7	5	3	4	14	1	5	4	6	9	8	3	2	6	5	10	5	5	1	11	0	3	5	4	11	1	0	9	5	19	2	5	3	2	1	1	7	2	7	6	4	5	8	2	9	9	1	1	2	7	3	3	1	4	1	2	0	5	2	5	13	1	7	3	5	0	3	3	6	10	7	0	3	0	5	5	18	7	3	1	10	10	4	0	4	3	4	8	0	8	6	8	0	2	20	8	0	4	1	0	4	1	4	8	5	1	2	1	5	5	0	4	0	2	1	24	0	1	4	5	2	2	0	0	1	6	2	4	3	3	7	4	6	4	0	3	4	7	1	1	1	0	3	3	13	2	0	1	1	1	10	9	12	0	0	3	6	4	5	0	3	4	0	2	0	0	1	0	0	0	8	3	3	0	3	3	2	3	3	3	7	0	4	4	1	0	0	2	1	1	1	1	4	2	2	3	1	1	5	11	5	1	1	2	0	2	3	7	0	6	2	3	0	4	0	1	2	3	0	0	2	0	3	3	4	0	1	4	1	3	5	5	1	2	4	21	2	1	0	1	3	4	3	5	5	0	6	2	0	0	0	3	2	1	1	1	0	2	1	12	5	3	3	0	2	1	0	3	1	10	4	11	1	0	6	0	0	3	0	3	2	1	1	0	2	8	0	0	2	4	14	0	1	0	0	2	0	11	1	4	1	2	0	1	7	0	5	1	3	2	6	1	9	1	1	0	2	1	1	1	2	4	2	2	3	1	19	1	2	1	2	1	0	6	1	0	27	2	3	0	2	2	4	2	4	0	1	2	0	1	1	2	1	2	12	3	0	1	1	11	1	3	4	1	4	4	1	3	0	1	0	4	0	3	0	1	2	2	4	11	3	1	3	2	2	0	2	2	2	0	8	7	1	1	0	0	2	6	2	1	0	2	3	4	0	0	0	3	1	1	0	3	0	9	0	3	5	0	1	4	2	1	0	4	1	4	2	1	1	9	2	0	1	1	0	0	1	5	0	3	1	0	1	2	0	0	5	0	0	0	2	1	0	2	0	2	1	3	1	1	1	0	1	1	3	1	0	15	1	2	1	4	0	1	2	1	0	1	2	9	1	1	2	1	1	2	0	1	2	3	8	2	0
My Coffee Stop Stories	3	0	2	1	0	3	0	1	2	1	0	1	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	2	2	0	1	0	13	1	1	0	0	0	1	0	5	0	0	1	0	2	0	4	0	0	1	0	2	1	0	0	3	0	0	2	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	1	2	0	3	0	0	0	0	0	0	0	1	3	1	0	0	0	0	1	0	0	2	1	0	1	9	1	0	0	1	0	1	0	1	2	0	0	0	0	0	5	0	2	0	0	0	1	0	1	1	0	0	0	2	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	2	0	3	0	3	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	1	2	1	1	1	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	3	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	2	2	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	7	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	2	0	0	0	0	0	1	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Confessions of a Domestic Delinquent	2	0	1	1	1	0	2	1	0	0	1	0	0	10	1	3	1	0	1	2	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	1	0	6	1	1	1	2	1	1	1	4	1	2	0	1	1	0	0	1	0	0	0	1	2	0	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	2	0	0	0	2	1	3	0	1	1	0	0	0	0	0	0	0	11	0	2	0	1	4	0	0	1	0	4	0	1	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	1	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	0	1	2	0	3	0	0	0	1	0	2	1	19	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	1	0	0	2	2	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	8	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	2	0	0	0	0	1	0	2	0	0	0	0	1	0	1	1	2	0	0	0	1	0	0	2	1	0	0	0	0	1	0	1	10	1	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	3	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	2	0	0	0	0	0	0	0	0	3	0	0
Penang	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barron County Retired Educators	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	8	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	3	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	15	0	4	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	5	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	4	0	1	0	0	3	1	0	0	0	0	0	1	0	0	2	0	0	0	6	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	5	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	6	0	0	0	0	0	0	0	0	4	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
A Green Faerie's Herbal,--- a place for green growing things & lively faeries!!!...	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vegging Out	2	7	4	0	0	1	0	2	4	1	1	4	1	0	0	1	0	3	0	0	3	1	0	3	0	1	4	0	0	2	2	0	1	4	2	1	1	0	4	1	0	0	1	0	0	0	0	0	0	1	0	3	3	0	0	1	0	4	1	4	0	1	0	4	2	0	0	6	0	5	3	0	1	3	1	0	1	3	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	2	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	2	4	6	0	0	0	1	0	0	1	0	0	0	1	0	1	2	0	1	0	0	3	4	3	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	2	1	0	0	0	1	0	1	0	0	0	3	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	1	0	3	0	8	0	0	0	0	3	0	5	0	0	0	0	0	0	1	0	0	1	0	1	0	1	2	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	0	1	0	0	2	0	1	1	0	2	0	0	0	0	0	0	0	1	0	1	2	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	2	2	1	0	0	4	0	0	1	0	1	0	0	1	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	1	1	0	1	0	0	0	1	1	0	1	0	2	4	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	1	0	0	1	3	0	1	0	1	0	1	0	0	0	1	1	1	2	0	0	0	0	0	1	1	0	1	0	2	2	0	2	0	0	0	3	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AVFTL	1	0	2	0	4	0	1	4	0	1	2	0	2	1	0	0	1	5	1	0	0	12	0	2	4	0	1	4	1	1	0	5	1	0	5	3	0	0	2	1	7	0	0	1	0	2	0	0	1	1	0	1	0	6	0	0	3	0	0	0	0	0	0	0	3	1	1	5	1	0	0	2	0	1	4	3	0	3	0	1	4	0	0	0	1	0	1	5	2	0	1	1	4	0	1	0	1	1	1	0	0	0	0	0	0	0	2	4	0	0	1	1	4	0	1	3	0	2	3	0	2	0	1	0	11	1	0	0	0	1	0	0	1	3	0	1	0	0	1	2	0	0	3	3	0	0	0	0	4	4	7	0	1	1	0	2	2	1	2	0	0	0	0	0	0	0	0	3	0	5	0	0	2	1	0	0	6	0	0	1	0	0	0	1	1	2	1	0	4	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	4	0	1	1	0	2	1	0	0	0	0	0	0	2	0	2	2	0	1	6	0	0	1	0	0	0	0	5	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	3	0	0	0	0	0	2	4	0	0	0	0	2	0	1	1	0	1	0	1	0	0	1	2	4	3	1	0	0	0	0	0	0	0	2	2	3	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	3	0	1	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	2	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	1	1	0	3	0	0	0	2	0	2	2	0	0	0	0	3	1	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	3	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
Melissa Right Now	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angie's Recipes . Taste Of Home	0	3	2	2	0	2	4	0	0	0	0	25	1	7	0	0	4	1	0	3	11	0	51	0	2	1	28	1	0	37	5	19	0	20	2	0	1	2	6	2	9	0	0	1	0	0	0	0	0	0	4	1	0	1	3	0	5	12	3	24	0	4	0	1	23	0	0	0	0	11	7	3	0	0	0	0	19	0	6	3	0	0	0	0	0	4	20	0	0	0	0	0	24	0	8	0	0	7	4	0	0	18	20	21	0	0	0	7	0	0	0	2	0	21	0	33	0	0	0	0	0	0	0	13	0	2	0	0	1	1	8	1	4	0	0	0	1	13	3	0	0	3	0	0	18	0	0	3	2	0	0	40	0	0	0	0	8	2	0	0	0	4	8	2	11	33	0	0	5	0	4	0	0	0	0	0	0	15	2	1	0	0	40	1	1	1	0	1	1	0	0	0	11	0	1	14	0	0	4	1	27	0	0	0	0	0	1	5	0	0	4	0	0	1	1	1	5	3	1	0	0	0	1	0	1	3	0	4	0	0	1	1	0	0	0	0	8	1	1	0	0	0	11	0	1	0	0	13	0	3	14	0	0	0	1	0	0	20	1	0	1	1	0	1	0	0	2	1	0	0	2	10	0	0	3	0	36	0	1	0	0	0	0	0	0	1	6	3	0	0	0	0	7	8	4	0	1	0	0	0	0	0	0	0	12	11	0	0	0	8	0	0	0	0	0	2	1	0	0	0	0	0	0	4	0	3	0	8	1	1	19	8	1	5	0	25	1	0	0	0	4	0	0	3	2	6	0	0	0	0	0	1	10	0	0	0	0	0	0	0	8	0	0	0	1	2	0	0	0	2	0	23	1	1	0	1	0	3	0	0	6	0	0	0	0	0	1	0	0	5	0	1	0	5	0	0	0	0	0	12	2	0	0	1	3	1	1	0	0	3	5	0	0	0	0	2	2	0	0	0	1	0	2	2	0	0	0	2	11	4	11	0	1	0	0	0	0	4	0	0	1	7	1	0	0	0	0	1	1	0	2	0	3	0	0	0	0	1	11	1	0	0	7	0	2	0	3	0	0	4	0	0	0	0	0	1	1	9	13	0	0	4	0	0	0	4	1	0	0	0	0	0	2	0	1	7	0	0	4	2
Rebecca's Amazing Creations	0	2	0	0	0	0	0	0	0	0	0	4	0	1	1	0	1	0	0	0	5	0	0	0	0	0	4	0	0	1	0	0	0	1	1	0	0	3	0	0	5	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	1	4	2	0	0	4	0	1	8	0	0	0	1	2	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	1	3	0	0	13	12	2	0	0	1	3	0	0	0	0	0	1	0	9	0	0	0	0	1	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	4	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	2	3	0	0	0	0	0	0	0	0	0	6	2	0	0	3	4	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	2	2	0	0	2	0	0	5	1	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	3	0	0	4	0	0	0	0	2	0	0	2	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	0	5	0	0	0	1	0	0	0	5	0	1	0	6	8	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0	4	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	1	1	0	0	1	0	0	0	9	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	3	1	0
